Brand Name,Item Count,Website
Licensed character,"97,937",Kohls
Unbranded,"40,122",Kohls
Nike,"14,891",Kohls
Lands end,"12,352",Kohls
Colosseum,"11,148",Kohls
Fanatics,"10,735",Kohls
Star wars,"10,280",Kohls
Disney,"9,649",Kohls
Marvel,"8,509",Kohls
Sonoma,"6,729",Kohls
Adidas,"5,057",Kohls
So,"5,003",Kohls
Under armour,"4,665",Kohls
Outerstuff,"4,326",Kohls
Champion,"4,177",Kohls
Unspecified,"4,109",Kohls
Journee collection,"3,569",Kohls
Nine west,"3,521",Kohls
Tek gear,"3,439",Kohls
Dc comics,"3,330",Kohls
Croft & barrow,"3,025",Kohls
New era,"3,010",Kohls
Lc lauren conrad,"2,175",Kohls
Leveret,"2,171",Kohls
Levi's,"2,084",Kohls
Simply vera vera wang,"1,981",Kohls
Nickelodeon,"1,846",Kohls
Harry potter,"1,809",Kohls
1928,"1,555",Kohls
Alfred dunner,"1,538",Kohls
Denco,"1,499",Kohls
G-iii,"1,472",Kohls
Nina leonard,"1,431",Kohls
Carter's,"1,407",Kohls
Stella grace,"1,385",Kohls
Columbia,"1,292",Kohls
Flx,"1,232",Kohls
Primrose,"1,199",Kohls
Easy street,"1,165",Kohls
Muk luks,"1,139",Kohls
Starter,"1,071",Kohls
Jockey,"1,037",Kohls
Eddie bauer,998,Kohls
Antigua,978,Kohls
Celebration gems,977,Kohls
Apt 9,950,Kohls
London rag,946,Kohls
Hanes,935,Kohls
Majestic,921,Kohls
Life stride,855,Kohls
Alexia admor,851,Kohls
Jumping beans,843,Kohls
Napier,833,Kohls
Cuddl duds,824,Kohls
Skechers,813,Kohls
Lee,802,Kohls
Designs by gioelli,771,Kohls
Lynx,770,Kohls
Logoart,736,Kohls
Sunkissed sterling,733,Kohls
Hurley,703,Kohls
Jurassic world,681,Kohls
Vans,670,Kohls
Dockers,657,Kohls
Fifth-sun,647,Kohls
White mark,644,Kohls
Maidenform,641,Kohls
New balance,636,Kohls
Conrad,633,Kohls
License,616,Kohls
Warner's,610,Kohls
Dickies,601,Kohls
Dr. scholl,588,Kohls
Izod,574,Kohls
Gemminded,569,Kohls
Spring step,563,Kohls
Bali,562,Kohls
Propet,528,Kohls
Haggar,528,Kohls
Mellow world,502,Kohls
Ryka,498,Kohls
Vanity fair,487,Kohls
Clark's,449,Kohls
Zero xposur,445,Kohls
